School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Fiscal Year,Mapped Location
F.H. Jenkins Preparatory School,Private,814 Youngs Lane,Nashville,TN,37207,44,Basic Operating,Nashville Symphony,FY17,"814 Youngs Lane
Nashville, TN 37207
(36.204759, -86.799082)"
Kipp Nashville,MNPS,3410 Knight Drive,Nashville,TN,37207,2,Basic Operating,Global Education Center,FY19,
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,11,Basic Operating,Cheekwood,FY17,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
H.G. Hill Middle Prep,MNPS,150 Davidson Road,Nashville,TN,37205,106,Basic Operating,Frist Center for the Visual Arts,FY17,"150 Davidson Road
Nashville, TN 37205
(36.115731, -86.865743)"
Thurgood Marshall Middle Prep,MNPS,5832 Pettus Road,Antioch,TN,37013,438,Arts Access,Nashville Children's Theatre,FY17,"5832 Pettus Road
Antioch, TN 37013
(36.022414, -86.664733)"
Franklin Road Academy,Private,4700 Franklin Pike,Nashville,TN,37220,79,Basic Operating,Nashville Children's Theatre,FY17,"4700 Franklin Pike
Nashville, TN 37220
(36.083081, -86.772376)"
Kenwood High School,Other,251 E Pine Mountain Rd,Clarksville,TN,37042,2,Core Operating,The Porch Writer's Collective,FY19,"251 E Pine Mountain Rd
Clarksville, TN 37042
(36.579334, -87.38188)"
El Hardin De Los Ninos,Pre-K/ELC,211 North 11th Street,Nashville,TN,37206,70,Arts Access,Nashville Ballet,FY17,"211 North 11th Street
Nashville, TN 37206
(36.179128, -86.749849)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,3,Basic Operating,Choral Arts Link,FY16,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,298,Arts Access,Nashville Children's Theatre,FY16,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Isaac Litton Middle School,MNPS,4601 Hedgewood Dr,Nashville,TN,37216,3,Core Operating,Theater Bug,FY19,"4601 Hedgewood Dr
Nashville, TN 37216
(36.22784, -86.720692)"
Margaret Allen Middle Prep,MNPS,500 Spence Lane,Nashville,TN,37210,1,Basic Operating,W.O. Smith Music School,FY17,"500 Spence Lane
Nashville, TN 37210
(36.146239, -86.722416)"
Valor Collegiate Academy,MNPS,4527 Nolensville Pike,Nashville,TN,37211,8,Basic Operating,W.O. Smith Music School,FY17,"4527 Nolensville Pike
Nashville, TN 37211
(36.070955, -86.723413)"
Lockeland Elementary Design Center,MNPS,105 S 17th St,Nashville,TN,37206,2,Creation,Theater Bug,FY19,"105 S 17th St
Nashville, TN 37206
(36.176312, -86.739761)"
Lockeland Elementary Design Center,MNPS,105 S 17th St,Nashville,TN,37206,7,Core Operating,Theater Bug,FY19,"105 S 17th St
Nashville, TN 37206
(36.176312, -86.739761)"
Jere Baxter Middle Prep,MNPS,350 Hart Lane,Nashville,TN,37207,12,Basic Operating,Nashville Ballet,FY16,"350 Hart Lane
Nashville, TN 37207
(36.219724, -86.750594)"
Linden Corner Waldorf,Private School,3201 Hillsboro Pike,Nashville,TN,37215,9,Basic Operating,Global Education Center,FY19,"3201 Hillsboro Pike
Nashville, TN 37215
(36.119645, -86.808727)"
Hillsboro High School,MNPS,400 Davidson Road,Nashville,TN,37205,8,Basic Operating,W.O. Smith Music School,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
DuPont Hadley Middle School,MNPS,1901 Old Hickory Blvd,Old Hickory,TN,37138,162,Basic Operating,Nashville Children's Theatre,FY19,"1901 Old Hickory Blvd
Old Hickory, TN 37138
(36.249028, -86.643271)"
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,61,Basic Operating,Country Music Foundation,FY16,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
Hume-Fogg High School,MNPS,700 Broadway,Nashville,TN,37203-3937,2,Basic Operating,Cheekwood,FY19,"700 Broadway
Nashville, TN 37203-3937
(36.159164, -86.781476)"
Stanford Montessori Elementary School,MNPS,2417 Maplecrest Drive,Nashville,TN,37214,200,Basic Operating,Nashville Symphony,FY17,"2417 Maplecrest Drive
Nashville, TN 37214
(36.177508, -86.682922)"
Edmondson Pike Library,Library,5501 Edmondson Pike,Nashville,TN,37211,1,Basic Operating,Nashville Opera,FY19,"5501 Edmondson Pike
Nashville, TN 37211
(36.044792, -86.743999)"
Judson Weekday Ministries,Pre-K/ELC,4900 Franklin Pike,Nashville,TN,37220,300,Basic Operating,Global Education Center,FY16,"4900 Franklin Pike
Nashville, TN 37220
(36.07759, -86.773043)"
Madison Middle Prep,MNPS,300 West Old Hickory Blvd,Madison,TN,37115,10,Basic Operating,Southern Word,FY16,"300 West Old Hickory Blvd
Madison, TN 37115
(36.263489, -86.716018)"
McGavock Elementary School,MNPS,275 McGavock Pike,Nashville,TN,37214,1,Basic Operating,W.O. Smith Music School,FY17,"275 McGavock Pike
Nashville, TN 37214
(36.160392, -86.681478)"
Montgomery Bell Academy,Private,4001 Harding Pike,Nashville,TN,37205,104,Basic Operating,The Nashville Shakespeare Festival,FY16,"4001 Harding Pike
Nashville, TN 37205
(36.13064, -86.836801)"
Tusculum Elementary School,MNPS,4917 Nolensville Road,Nashville,TN,37211,470,Basic Operating,Nashville Children's Theatre,FY16,
Harding Academy,Private,170 Windsor Drive,Nashville,TN,37205,101,Basic Operating,Cheekwood,FY17,"170 Windsor Drive
Nashville, TN 37205
(36.10207, -86.866583)"
Stratford STEM Magnet School Lower Campus,MNPS,1800 Stratford Avenue,Nashville,TN,37216,1,Basic Operating,W.O. Smith Music School,FY17,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
IT Creswell Middle School,MNPS,3500 John Mallette Dr,Nashville,TN,37218,45,Core Operating,Intersection,FY19,"3500 John Mallette Dr
Nashville, TN 37218
(36.195104, -86.838212)"
Hillwood Comprehensive High School,MNPS,400 Davidson Road,Nashville,TN,37205,42,Basic operating,Frist Art Museum,FY19,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Sycamore Middle School,Other,1025 Old Clarksville Pike,Pleasant View,TN,37146,1,Core Operating,Theater Bug,FY19,"1025 Old Clarksville Pike
Pleasant View, TN 37146
(36.36816, -87.047081)"
Haynes Middle School,MNPS,510 W Trinity Ln,Nashville,TN,37207,40,Basic Operating,Belcourt Theatre,FY19,"510 W Trinity Ln
Nashville, TN 37207
(36.207377, -86.790851)"
Donelson Christian Academy,Private,300 Danyacrest Drive,Nashville,TN,37214,50,Basic Operating,Nashville Symphony,FY17,"300 Danyacrest Drive
Nashville, TN 37214
(36.183834, -86.650836)"
East End Prep,MNPS,1460 McGavock Pike,Nashville,TN,37216,2,Basic Operating,W.O. Smith Music School,FY16,"1460 McGavock Pike
Nashville, TN 37216
(36.207179, -86.718799)"
Alex Green Elementary School,MNPS,3921 Lloyd Road,Whites Creek,TN,37189,48,Arts Access,Nashville Children's Theatre,FY16,"3921 Lloyd Road
Whites Creek, TN 37189
(36.252464, -86.831571)"
McMurray Middle Prep,MNPS,520 McMurray Drive,Nashville,TN,37211,15,Basic Operating,Global Education Center,FY16,"520 McMurray Drive
Nashville, TN 37211
(36.05738, -86.722669)"
Valor Collegiate Academy,MNPS,4527 Nolensville Pike,Nashville,TN,37211,5,Basic Operating,W.O. Smith Music School,FY16,"4527 Nolensville Pike
Nashville, TN 37211
(36.070955, -86.723413)"
Edgehill Library,Other,1409 12th Avenue South,Nashville,TN,37203,12,Basic Operating,Nashville Ballet,FY19,"1409 12th Avenue South
Nashville, TN 37203
(36.139199, -86.787677)"
Glengarry Elementary,MNPS,200 Finley Drive,Nashville,TN,37217,141,Basic Operating,Nashville Children's Theatre,FY19,"200 Finley Drive
Nashville, TN 37217
(36.110136, -86.7059)"
North Library,Other,1001 Monroe St.,Nashville,TN,37208,50,Basic Operating,Nashville Ballet,FY19,"1001 Monroe St.
Nashville, TN 37208
(36.174397, -86.796001)"
MNPS Virtual School,MNPS,4805 Park Avenue,Nashville,TN,37209,2,Basic Operating,W.O. Smith Music School,FY16,"4805 Park Avenue
Nashville, TN 37209
(36.150961, -86.844705)"
Montgomery Bell Academy,Private,4001 Harding Pike,Nashville,TN,37205,45,Basic Operating,Nashville Shakespeare Festival,FY17,"4001 Harding Pike
Nashville, TN 37205
(36.13064, -86.836801)"
Jere Baxter Middle School,MNPS,350 Hart Lane,Nashville,TN,37207-5054,41,Basic Operating,Cheekwood,FY19,"350 Hart Lane
Nashville, TN 37207-5054
(36.219724, -86.750594)"
Lipscomb Academy,Private,3901 Granny White Pike,Nashville,TN,37204,1,Basic Operating,Nashville Jazz Workshop,FY16,"3901 Granny White Pike
Nashville, TN 37204
(36.104122, -86.796661)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,68,Basic Operating,Country Music Foundation,FY17,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Liberty Collegiate Academy,MNPS,3515 Gallatin Pike,Nashville,TN,37216,3,Basic Operating,W.O. Smith Music School,FY17,"3515 Gallatin Pike
Nashville, TN 37216
(36.212047, -86.732247)"
Shwab Elementary School,MNPS,1500 Dickerson Pike,Nashville,TN,37207,49,Arts Access,Nashville Children's Theatre,FY16,"1500 Dickerson Pike
Nashville, TN 37207
(36.199361, -86.770285)"
KIPP Nashville College Prep,MNPS - Charter School,3410 Knight Drive,Nashville,TN,37207,27,Basic operating,Frist Art Museum,FY19,
Jones Paideia Elementary Magnet School,MNPS,1800 9th Avenue North,Nashville,TN,37208,3,Basic Operating,W.O. Smith Music School,FY16,"1800 9th Avenue North
Nashville, TN 37208
(36.181246, -86.801903)"
Holy Rosary Academy,Private,190 Graylynn Drive,Nashville,TN,37214,75,Basic Operating,Nashville Children's Theatre,FY16,"190 Graylynn Drive
Nashville, TN 37214
(36.168225, -86.674913)"
Margaret Allen Middle Prep,MNPS,500 Spence Lane,Nashville,TN,37210,114,Basic Operating,Nashville Children's Theatre,FY16,"500 Spence Lane
Nashville, TN 37210
(36.146239, -86.722416)"
Ruby Major Elementary School,MNPS,5141 John Hagar Road,Hermitage,TN,37076,350,Basic Operating,Nashville Children's Theatre,FY17,"5141 John Hagar Road
Hermitage, TN 37076
(36.15773, -86.57905)"
Ivanetta H. Davis Early Learning Center,Pre-K/ELC,1910 South Hamilton Road,Nashville,TN,37218,45,Basic Operating,Global Education Center,FY16,"1910 South Hamilton Road
Nashville, TN 37218
(36.191753, -86.832991)"
Harpeth Hall School,Private,3801 Hobbs Road,Nashville,TN,37215,97,Basic Operating,Nashville Shakespeare Festival,FY17,"3801 Hobbs Road
Nashville, TN 37215
(36.103441, -86.840497)"
Homeschool,Home Schooled,,,TN,,1,Basic Operating,Music City Youth Orchestra,FY17,"TN
(35.842998, -86.343226)"
Montessori East,Private School,801 Porter Rd,Nashville,TN,37206,1,Core Operating,Theater Bug,FY19,"801 Porter Rd
Nashville, TN 37206
(36.183509, -86.732509)"
Nashville Christian School,Private,7555 Sawyer Brown Road,Nashville,TN,37221,180,Basic Operating,Tennessee Performing Arts Center,FY17,"7555 Sawyer Brown Road
Nashville, TN 37221
(36.106683, -86.930689)"
Napier Elementary,Metro Nashville Public Schools,60 Fairfield Ave,Nashville,TN,37210,1,Basic Operating,Nashville Opera,FY19,"60 Fairfield Ave
Nashville, TN 37210
(36.15001, -86.757067)"
Robert Churchwell Museum Magnet Elementary School,MNPS,1625 Dr D.B. Todd Jr Blvd,Nashville,TN,37208,69,Arts Access,Tennessee Performing Arts Center,FY16,"1625 Dr D.B. Todd Jr Blvd
Nashville, TN 37208
(36.175783, -86.809257)"
Norman Binkley Elementary School,MNPS,4700 West Longdale Drive,Nashville,TN,37211,101,Basic Operating,Nashville Symphony,FY16,
The Covenant School,Private,33 Burton Hills Blvd,Nashville,TN,37215,10,Basic Operating,Frist Center for the Visual Arts,FY17,"33 Burton Hills Blvd
Nashville, TN 37215
(36.09511, -86.824028)"
Robert E. Lillard Elementary School,MNPS,3200 King's Lane,Nashville,TN,37218,47,Basic Operating,Nashville Children's Theatre,FY19,"3200 King's Lane
Nashville, TN 37218
(36.219935, -86.826648)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37203,15,Basic Operating,Tennessee Women's Theater Project,FY17,"1015 Kellow Street
Nashville, TN 37203
(36.190768, -86.807322)"
Grassland Middle School,Other,6803 Manley Ln,Brentwood,TN,37027,2,Core Operating,Theater Bug,FY19,"6803 Manley Ln
Brentwood, TN 37027
(36.010362, -86.88167)"
Hume-Fogg Magnet High School,MNPS,700 Broadway,Nashville,TN,37203,25,Basic Operating,Cheekwood,FY17,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
Ruby Major Elementary School,MNPS,5141 John Hagar Road,Hermitage,TN,37076,248,Basic Operating,Nashville Children's Theatre,FY16,"5141 John Hagar Road
Hermitage, TN 37076
(36.15773, -86.57905)"
Robert Churchwell Museum Magnet Elementary,MNPS,1625 Dr. D.B. Todd Junior Boulevard,Nashville,TN,37208,33,Basic Operating,"Country Music Foundation, Inc. dba Country Music Hall of Fame and Museum",FY19,
Linden Waldorf School,Private,3201 Hillsboro Pike,Nashville,TN,37215,34,Basic Operating,Frist Center for the Visual Arts,FY16,"3201 Hillsboro Pike
Nashville, TN 37215
(36.119645, -86.808727)"
Ivanetta Davis Early Learning Center,ELC/Pre-K,1910 South Hamilton Road,Nashville,TN,37218,278,Basic Operating,Nashville Children's Theatre,FY19,"1910 South Hamilton Road
Nashville, TN 37218
(36.191753, -86.832991)"
McKissack Middle School,MNPS,915 38th Ave N,Nashville,TN,37209,65,Basic Operating,Nashville Children's Theatre,FY19,"915 38th Ave N
Nashville, TN 37209
(36.159449, -86.830883)"
Educare,ELC/Pre-K,337 Margo Lane,Nashville,TN,37211,30,Basic Operating,Global Education Center,FY19,"337 Margo Lane
Nashville, TN 37211
(36.071628, -86.702878)"
Richland Headstart,Early Learning Center/Pre-K,5900 Charlotte Pike,Nashville,TN,37209,68,Basic Operating,Nashville Ballet,FY19,"5900 Charlotte Pike
Nashville, TN 37209
(36.149043, -86.863323)"
Granbery Elementary School,MNPS,5501 Hill Road,Brentwood,TN,37027,29,Basic Operating,Country Music Foundation,FY17,"5501 Hill Road
Brentwood, TN 37027
(36.047628, -86.752404)"
Glencliff High School,MNPS,160 Antioch Pike,Nashville,TN,37211,11,After-School Arts,Frist Center for the Visual Arts,FY16,"160 Antioch Pike
Nashville, TN 37211
(36.100889, -86.726609)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,60,Basic Operating,Global Education Center,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Goodlettsville Elementary School,MNPS,514 Donald Avenue,Goodlettsville,TN,37072,184,Basic Operating,Nashville Children's Theatre,FY17,
The Covenant School,Private,33 Burton Hills Blvd,Nashville,TN,37215,16,Basic Operating,Tennessee Performing Arts Center,FY17,"33 Burton Hills Blvd
Nashville, TN 37215
(36.09511, -86.824028)"
Fall-Hamilton Advanced Option School,MNPS,510 Wedgewood Avenue,Nashville,TN,37207,186,Basic Operating,Global Education Center,FY16,"510 Wedgewood Avenue
Nashville, TN 37207
(36.133001, -86.76601)"
Valor Flagship Academy,MNPS,4527 Nolensville Pike,Nashville,TN,37211,108,Basic Operating,Music City Youth Orchestra,FY17,"4527 Nolensville Pike
Nashville, TN 37211
(36.070955, -86.723413)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,175,Basic Operating,Tennessee Performing Arts Center,FY16,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Bellevue Middle School,MNPS,655 Colice Jeanne Road,Nashville,TN,37221,203,Basic Operating,Nashville Children's Theatre,FY17,"655 Colice Jeanne Road
Nashville, TN 37221
(36.071058, -86.934079)"
Carter-Lawrence Elementary School,MNPS,1118 12th Avenue South,Nashville,TN,37203,5,Basic Operating,W.O. Smith Music School,FY16,"1118 12th Avenue South
Nashville, TN 37203
(36.143513, -86.786798)"
Stratford STEM Magnet School Upper Campus,MNPS,1800 Stratford Avenue,Nashville,TN,37216,3,Basic Operating,W.O. Smith Music School,FY17,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
Girl Scout Troop,Other,4106 Kennedy Avenue,Nashville,TN,37216-2522,34,Basic Operating,Cheekwood,FY19,"4106 Kennedy Avenue
Nashville, TN 37216-2522
(36.218646, -86.717495)"
Haywood Elementary School,MNPS,3790 Turley Drive,Nashville,TN,37211,892,Basic Operating,Nashville Children's Theatre,FY16,"3790 Turley Drive
Nashville, TN 37211
(36.074335, -86.708684)"
The Covenant School,Private,33 Burton Hills Blvd,Nashville,TN,37215,50,Basic Operating,Nashville Children's Theatre,FY17,"33 Burton Hills Blvd
Nashville, TN 37215
(36.09511, -86.824028)"
St. Clement Coptic Orthodox Christian Academy,Private,476 McMurray Drive,Nashville,TN,37211,19,Basic Operating,Nashville Children's Theatre,FY16,"476 McMurray Drive
Nashville, TN 37211
(36.059236, -86.722488)"
LEAD Academy High School,MNPS,1034 1st Avenue South,Nashville,TN,37210,3,Basic Operating,W.O. Smith Music School,FY16,"1034 1st Avenue South
Nashville, TN 37210
(36.148899, -86.765038)"
Gower Elementary School,MNPS,650 Old Hickory Blvd,Nashville,TN,37209,1,Basic Operating,Choral Arts Link,FY17,"650 Old Hickory Blvd
Nashville, TN 37209
(36.115285, -86.923093)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,78,Basic Operating,Country Music Foundation,FY17,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Cambridge Early Learning Center,ELC/Pre-K,2325 Hickory Highlands Drive,Antioch,TN,37013,140,Basic Operating,Global Education Center,FY19,"2325 Hickory Highlands Drive
Antioch, TN 37013
(36.060835, -86.641835)"
St. Joseph School,Private,1225 Gallatin Pike South,Madison,TN,37115,54,Basic Operating,Tennessee Performing Arts Center,FY16,"1225 Gallatin Pike South
Madison, TN 37115
(36.245427, -86.721932)"
Nashville Academy of Computer Science,MNPS,3230 Brick Church Pike,Nashville,TN,37207,40,Basic Operating,YEAH!,FY17,"3230 Brick Church Pike
Nashville, TN 37207
(36.234841, -86.781291)"
Gra-Mar Middle Prep,MNPS,575 Joyce Lane,Nashville,TN,37216,122,Basic Operating,Tennessee Performing Arts Center,FY17,"575 Joyce Lane
Nashville, TN 37216
(36.232399, -86.745515)"
McGavock Elementary School,MNPS,275 McGavock Pike,Nashville,TN,37214,138,Basic Operating,Nashville Children's Theatre,FY16,"275 McGavock Pike
Nashville, TN 37214
(36.160392, -86.681478)"
Holy Rosary Academy,Private,190 Graylynn Drive,Nashville,TN,37214,2,Basic Operating,Global Education Center,FY17,"190 Graylynn Drive
Nashville, TN 37214
(36.168225, -86.674913)"
Valor Collegiate Academy,MNPS,4527 Nolensville Pike,Nashville,TN,37211,2,Basic Operating,Choral Arts Link,FY17,"4527 Nolensville Pike
Nashville, TN 37211
(36.070955, -86.723413)"
McNeilly Center for Children,Pre-K/ELC,100 Meridian Street,Nashville,TN,37207,105,Basic Operating,Tennessee Performing Arts Center,FY17,"100 Meridian Street
Nashville, TN 37207
(36.178956, -86.770246)"
Woodmont Christian Preschool,Pre-K/ELC,3601 Hillsboro Pike,Nashville,TN,37215,46,Basic Operating,Nashville Children's Theatre,FY17,"3601 Hillsboro Pike
Nashville, TN 37215
(36.111648, -86.811206)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,171,Arts Access,"Southern Word, Inc.",FY16,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Knowledge Academy,MNPS,5320 Hickory Hollow Pkwy,Antioch,TN,37013,80,Basic Operating,Belcourt Theatre,FY19,"5320 Hickory Hollow Pkwy
Antioch, TN 37013
(36.046023, -86.65413)"
Meigs Magnet Middle Prep,MNPS,713 Ramsey Street,Nashville,TN,37206,5,Basic Operating,W.O. Smith Music School,FY17,"713 Ramsey Street
Nashville, TN 37206
(36.17603, -86.760346)"
Brentwood High School,Other,5304 Murray Ln,Brentwood,TN,37027,3,Core Operating,Theater Bug,FY19,"5304 Murray Ln
Brentwood, TN 37027
(36.01528, -86.815709)"
John Overton High School,MNPS,4820 Franklin Road,Nashville,TN,37220,9,Basic Operating,W.O. Smith Music School,FY17,
Old Center Elementary School,MNPS,1245 Dickerson Pike South,Goodlettsville,TN,37072,42,Arts Access,Nashville Children's Theatre,FY16,"1245 Dickerson Pike South
Goodlettsville, TN 37072
(36.290781, -86.737701)"
Una Elementary School,MNPS,2018 Murfreesboro Pike,Nashville,TN,37217,575,Basic Operating,Country Music Foundation,FY16,"2018 Murfreesboro Pike
Nashville, TN 37217
(36.095161, -86.654176)"
Julia Green Elementary School,MNPS,3500 Hobbs Road,Nashville,TN,37215,273,Basic Operating,Nashville Children's Theatre,FY19,"3500 Hobbs Road
Nashville, TN 37215
(36.102263, -86.832973)"
Thomas A. Edison Elementary School,MNPS,6130 Mt. View Road,Antioch,TN,37013,1,Basic Operating,W.O. Smith Music School,FY17,"6130 Mt. View Road
Antioch, TN 37013
(36.063319, -86.607009)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,60,Arts Access,Nashville Ballet,FY17,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Joelton Elementary School,MNPS,7141 Whites Creek Pike,Joelton,TN,37080,70,Basic Operating,Country Music Foundation,FY17,"7141 Whites Creek Pike
Joelton, TN 37080
(36.316174, -86.865924)"
Cameron College Prep,MNPS,1034 1st Avenue South,Nashville,TN,37210,19,Basic Operating,Southern Word,FY16,"1034 1st Avenue South
Nashville, TN 37210
(36.148899, -86.765038)"
The Covenant School,Private,33 Burton Hills Blvd,Nashville,TN,37215,140,Basic Operating,Nashville Ballet,FY17,"33 Burton Hills Blvd
Nashville, TN 37215
(36.09511, -86.824028)"
Cane Ridge High School,MNPS,12848 Old Hickory Boulevard,Antioch,TN,37013,28,Basic Operating,Tennessee Performing Arts Center,FY17,"12848 Old Hickory Boulevard
Antioch, TN 37013
(36.026553, -86.615508)"
Norman Binkley Elementary School,MNPS,4700 West Longdale Drive,Nashville,TN,37211,41,After-School Arts,Tennessee Performing Arts Center,FY17,
Granbery Elementary School,MNPS,5501 Hill Road,Brentwood,TN,37027,446,Basic Operating,Nashville Children's Theatre,FY16,"5501 Hill Road
Brentwood, TN 37027
(36.047628, -86.752404)"
Kipp Academy,Other,123 Douglas Ave,Nashville,TN,37207,3,Basic Operating,"Actors Bridge Ensemble Theater of Nashville, Inc.",FY19,"123 Douglas Ave
Nashville, TN 37207
(36.194127, -86.769295)"
Crieve Hall Elementary School,MNPS,498 Hogan Road,Nashville,TN,37220,97,Basic Operating,Nashville Children's Theatre,FY16,"498 Hogan Road
Nashville, TN 37220
(36.065173, -86.757468)"
Hillwood High School,MNPS,400 Davidson Road,Nashville,TN,37205,48,Basic Operating,Country Music Foundation,FY17,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Hume-Fogg Magnet High School,MNPS,700 Broadway,Nashville,TN,37203,14,Basic Operating,Nashville Jazz Workshop,FY17,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
Haywood Elementary School,MNPS,3790 Turley Drive,Nashville,TN,37211,384,Basic Operating,Country Music Foundation,FY16,"3790 Turley Drive
Nashville, TN 37211
(36.074335, -86.708684)"
Paragon Mills Elementary,MNPS,260 Paragon Mills Road,Nashville,TN,37211-4075,104,Basic Operating,Cheekwood,FY19,"260 Paragon Mills Road
Nashville, TN 37211-4075
(36.087048, -86.707014)"
Apollo Middle Prep,MNPS,631 Richards Road,Antioch,TN,37013,16,After-School Arts,Nashville Children's Theatre,FY16,"631 Richards Road
Antioch, TN 37013
(36.067445, -86.664309)"
Norman Binkley Elementary,MNPS,4700 West Longdale Drive,Nashville,TN,37211,4,Basic Operating,Global Education Center,FY19,
East Nashville Magnet Middle,MNPS,2000 Greenwood Ave,Nashville,TN,37206,40,Basic Operating,Nashville Children's Theatre,FY19,"2000 Greenwood Ave
Nashville, TN 37206
(36.189048, -86.732515)"
Glenview Elementary School,MNPS,1020 Patricia Drive,Nashville,TN,37217,1,Basic Operating,W.O. Smith Music School,FY16,"1020 Patricia Drive
Nashville, TN 37217
(36.128499, -86.70726)"
Crieve Hall Homeschool Group,Home Schooled,Various addresses,Nashville,TN,37211,31,Basic Operating,Cheekwood,FY19,
Percy Priest Elementary School,MNPS,1700 Otter Creek Road,Nashville,TN,37215,3,After-School Arts,Frist Center for the Visual Arts,FY16,"1700 Otter Creek Road
Nashville, TN 37215
(36.061273, -86.833745)"
Donelson Christian Academy,Private,300 Danyacrest Drive,Nashville,TN,37214,1,Basic Operating,Actors Bridge Ensemble,FY17,"300 Danyacrest Drive
Nashville, TN 37214
(36.183834, -86.650836)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,1,Basic Operating,Choral Arts Link,FY16,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Frederick Douglass Head Start,Pre-K/ELC,621 Howerton Street,Nashville,TN,37206,57,Basic Operating,Tennessee Performing Arts Center,FY17,
Lighthouse Christian School,Private,5100 Blue Hole Road,Antioch,TN,37013,180,Basic Operating,Nashville Symphony,FY17,"5100 Blue Hole Road
Antioch, TN 37013
(36.05263, -86.673119)"
Cockrill Elementary School,MNPS,4701 Indiana Avenue,Nashville,TN,37209,13,After-School Arts,Frist Center for the Visual Arts,FY16,"4701 Indiana Avenue
Nashville, TN 37209
(36.156626, -86.84498)"
Maplewood High School,MNPS,401 Walton Lane,Nashville,TN,37216,20,Arts Access,Belcourt Theatre,FY17,"401 Walton Lane
Nashville, TN 37216
(36.232997, -86.750784)"
Two Rivers Middle School,MNPS,2991 McGavock Pk,Nashville,TN,37214,25,Basic Operating,Belcourt Theatre,FY19,"2991 McGavock Pk
Nashville, TN 37214
(36.195903, -86.673373)"
Fall-Hamilton Enhanced Option School,Metro Nashville Public Schools,510 Wedgewood Avenue,Nashville,TN,37203,1,Basic Operating,Nashville Opera,FY19,"510 Wedgewood Avenue
Nashville, TN 37203
(36.133001, -86.76601)"
McGavock High School,MNPS,3150 McGavock Pike,Nashville,TN,37214,118,Basic Operating,Cheekwood,FY17,"3150 McGavock Pike
Nashville, TN 37214
(36.185147, -86.67648)"
J.E. Moss Elementary School,MNPS,4701 Bowfield Drive,Antioch,TN,37013,177,Basic Operating,Cheekwood,FY17,"4701 Bowfield Drive
Antioch, TN 37013
(36.066996, -86.668993)"
Hattie Cotton,MNPS,1033 W Greenwood Ave,Nashville,TN,37206,4,Youth Arts,"East Nashville Hope Exchange, Inc.",FY19,"1033 W Greenwood Ave
Nashville, TN 37206
(36.190618, -86.747804)"
Harpeth Hall School,Private School,3801 Hobbs Rd,Nashville,TN,37215,3,Core Operating,Theater Bug,FY19,"3801 Hobbs Rd
Nashville, TN 37215
(36.103441, -86.840497)"
Julia Green Elementary School,MNPS,3500 Hobbs Road,Nashville,TN,37215,373,Basic Operating,Nashville Children's Theatre,FY16,"3500 Hobbs Road
Nashville, TN 37215
(36.102263, -86.832973)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,92,Basic Operating,Nashville Shakespeare Festival,FY17,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Hume-Fogg Magnet High School,MNPS,700 Broadway,Nashville,TN,37203,12,Basic Operating,W.O. Smith Music School,FY16,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
